gdate,gnum,seasonCode,leagueCode,round,gender,hname,aname,score,hs1point,hs2point,hs3point,hs4point,hs5point,as1point,as2point,as3point,as4point,as5point,place,spectators,gstime,sptime,referee
2021-11-24,67,018,201,2,1,인천 대한항공 점보스 배구단,의정부 KB손해보험 스타즈 배구단,1 : 3,25,22,37,20,0,22,25,39,25,0,인천계양체육관,591,19:00,02:15,권대진
2021-11-24,68,018,201,2,2,GS칼텍스 서울Kixx 배구단,한국도로공사 하이패스 배구단,2 : 3,17,25,25,22,14,25,23,22,25,16,서울장충체육관,1655,19:00,02:26,이광훈
2021-11-25,69,018,201,2,1,수원 한국전력 VIXTORM 프로배구단,대전 삼성화재 블루팡스 배구단,0 : 3,23,14,16,0,0,25,25,25,0,0,수원체육관,462,19:00,01:20,최성권
2021-11-25,70,018,201,2,2,KGC인삼공사 프로배구단,페퍼저축은행 AI PEPPERS 배구단,3 : 0,25,25,25,0,0,13,16,15,0,0,대전충무체육관,1353,19:00,01:14,강주희
2021-11-26,71,018,201,2,1,천안 현대캐피탈 스카이워커스,서울 우리카드 우리WON 프로배구단,3 : 2,22,25,19,25,15,25,23,25,22,12,천안유관순체육관,875,19:00,02:17,최재효
2021-11-26,72,018,201,2,2,현대건설 힐스테이트 배구단,흥국생명배구단 핑크스파이더스,3 : 1,25,18,25,25,0,23,25,18,20,0,수원체육관,1227,19:00,01:51,남영수
2021-11-27,73,018,201,2,1,안산 OK금융그룹 읏맨 프로배구단,인천 대한항공 점보스 배구단,0 : 3,15,16,15,0,0,25,25,25,0,0,안산상록수체육관,726,14:00,01:25,최성권
2021-11-27,74,018,201,2,2,IBK기업은행 알토스 배구단,GS칼텍스 서울Kixx 배구단,0 : 3,23,23,15,0,0,25,25,25,0,0,화성종합실내체육관,1556,16:00,01:24,강주희
2021-11-28,75,018,201,2,1,의정부 KB손해보험 스타즈 배구단,대전 삼성화재 블루팡스 배구단,3 : 1,25,25,23,25,0,18,17,25,15,0,의정부체육관,1027,14:00,01:53,최재효
2021-11-28,76,018,201,2,2,한국도로공사 하이패스 배구단,페퍼저축은행 AI PEPPERS 배구단,3 : 1,21,25,25,25,0,25,15,19,23,0,김천실내체육관,1497,16:00,01:51,전영아
2021-11-30,77,018,201,2,1,수원 한국전력 VIXTORM 프로배구단,인천 대한항공 점보스 배구단,3 : 2,24,17,25,25,15,26,25,21,21,11,수원체육관,507,19:00,02:17,권대진
2021-11-30,78,018,201,2,2,GS칼텍스 서울Kixx 배구단,KGC인삼공사 프로배구단,3 : 0,25,25,25,0,0,17,22,15,0,0,서울장충체육관,1712,19:00,01:22,최성권
2021-12-01,79,018,201,2,1,서울 우리카드 우리WON 프로배구단,대전 삼성화재 블루팡스 배구단,2 : 3,21,25,25,23,14,25,21,16,25,16,서울장충체육관,621,19:00,02:17,최재효
2021-12-01,80,018,201,2,2,흥국생명배구단 핑크스파이더스,페퍼저축은행 AI PEPPERS 배구단,3 : 1,26,25,23,25,0,24,18,25,14,0,인천삼산월드체육관,814,19:00,01:49,강주희
2021-12-02,81,018,201,2,1,의정부 KB손해보험 스타즈 배구단,안산 OK금융그룹 읏맨 프로배구단,3 : 1,16,25,25,28,0,25,20,23,26,0,의정부체육관,528,19:00,02:10,최성권
2021-12-02,82,018,201,2,2,한국도로공사 하이패스 배구단,IBK기업은행 알토스 배구단,3 : 0,25,25,25,0,0,13,20,17,0,0,김천실내체육관,1301,19:00,01:17,송인석
2021-12-03,83,018,201,2,1,천안 현대캐피탈 스카이워커스,수원 한국전력 VIXTORM 프로배구단,2 : 3,25,23,25,24,13,23,25,19,26,15,천안유관순체육관,1008,19:00,02:17,남영수
2021-12-03,84,018,201,2,2,현대건설 힐스테이트 배구단,KGC인삼공사 프로배구단,3 : 1,25,25,25,25,0,20,19,27,15,0,수원체육관,1728,19:00,01:59,전영아
